Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"ProfiluxProfessional Эмаль Акриловая Универсальная (Матовая) база 1  2,4 кг",Остаток Алматы: 36 шт,14 060 KZT,МП00-000033,Profilux,Германия,"2,4 л"
Краска Marshall EXPORT КУХНИ И ВАННЫЕ матовая латексная BW 9л,Остаток Алматы: 32 шт,44 910 KZT,5316072,Marshall,Турция,9 л
"Dufa ВД краска SUPERWEISS RD4  2,5л",Остаток Алматы: 32 шт,9 230 KZT,Н0000000395,DUFA,Германия,"2,5 л"
"Profilux ВД краска PL- 13L латекс. моющаяся износоуст. СУПЕРбел  база 1,  1,4кг",Остаток Алматы: 33 шт,2 780 KZT,Н0000004180,Profilux,Германия,"1,4 л"
"Краска Luxium Prof Diamond Ext Matt глуб/мт BW2,5л",Остаток Алматы: 35 шт,42 220 KZT,50034526,LUXIUM,Англия,"2,5 л"
Краска Dulux Professional Diamond Max Protect мат BW 1л,Остаток Алматы: 31 шт,17 810 KZT,5834137,Dulux,Англия,1 л
Краска DX Easy мат BW 9л,Остаток Алматы: 30 шт,60 730 KZT,5733522,Dulux,Англия,9 л
"Dufa ВД краска EUROLATEX 3,   2,5л",Остаток Алматы: 32 шт,8 520 KZT,Н0000003405,DUFA,Германия,"2,5 л"
"Dufa ВД краска EUROLATEX 7,   2,5л",Остаток Алматы: 31 шт,9 310 KZT,Н0000003407,DUFA,Германия,"2,5 л"
"Profilux ВД краска PL- 13L латекс. моющаяся износоуст. СУПЕРбел  база 1,  3кг",Остаток Алматы: 32 шт,5 260 KZT,Н0000001059,Profilux,Германия,3 л
"Краска Dulux Vinyl Extra Matt,BС 0,9л",Остаток Алматы: 31 шт,11 120 KZT,5687036,Dulux,Англия,"0,9 л"
Краска Dulux Professional BINDO 40 полуглянцевая BW 9л,Остаток Алматы: 29 шт,106 460 KZT,5302493,Dulux,Англия,9 л
"DufaPremium ВД краска KeraMatt  база1  0,9л",Остаток Алматы: 28 шт,11 520 KZT,МП00-008313,DUFA,Германия,"0,9 л"
"Dufa ВД краска MATTLATEX RD100  2,5л",Остаток Алматы: 27 шт,12 050 KZT,Н0000000247,DUFA,Германия,"2,5 л"
"Dufa ВД краска MATTLATEX RD100 база3    2,5л",Остаток Алматы: 31 шт,12 050 KZT,МП00-009595,DUFA,Германия,"2,5 л"
"Краска DX Easy мат BW 2,5л",Остаток Алматы: 23 шт,19 580 KZT,5733764,Dulux,Англия,"2,5 л"
"DufaPremium ВД краска KeraLine  3  база1  2,5л",Остаток Алматы: 24 шт,13 430 KZT,МП00-006513,DUFA,Германия,"2,5 л"
"DufaPremium ВД краска KeraLine 20  база1  2,5л",Остаток Алматы: 27 шт,22 590 KZT,МП00-006525,DUFA,Германия,"2,5 л"
"Краска Dulux Ultra Resist Гостиные и Офисы мат ВС 2,25л",Остаток Алматы: 16 шт,36 160 KZT,5747851,Dulux,Англия,"2,25 л"
"ProfiluxProfessional ВД краска INTERIOR ВЛАЖНАЯ УБОРКА латексная для стен и потолков,  2,5кг",Остаток Алматы: 26 шт,6 020 KZT,Н0000005769,Profilux,Германия,"2,5 л"
DufaPremium ВД краска KeraLine  3  база3  9л,Остаток Алматы: 22 шт,40 520 KZT,МП00-006517,DUFA,Германия,9 л
"DufaPremium ВД краска KeraLine  7  база3  2,5л",Остаток Алматы: 20 шт,17 180 KZT,МП00-006522,DUFA,Германия,"2,5 л"
"Краска Dulux Ultra Resist Кухня и Ванная мат ВС 4,5л",Остаток Алматы: 23 шт,58 120 KZT,5757404,Dulux,Англия,"4,5 л"
"Dufa ВД краска MATTLATEX RD100  0,9л",Остаток Алматы: 24 шт,5 120 KZT,МП00-009510,DUFA,Германия,"0,9 л"
"Краска профессиональная интерьерная KELLY-MOORE Premium Prof (цвет: white base, flat), банка 3,78л",Остаток Алматы: 26 шт,62 600 KZT,1005-1-1G,KELLY-MOORE,Америка,"3,78 л"
"DufaPremium ВД краска KeraLine  7  база3  0,9л",Остаток Алматы: 17 шт,6 660 KZT,МП00-006521,DUFA,Германия,"0,9 л"
"DufaPremium ВД краска KeraLine 20  база1  0,9л",Остаток Алматы: 22 шт,8 980 KZT,МП00-006524,DUFA,Германия,"0,9 л"
"Dufa HOME ВД краска Acrylic matt  база1   0,9л",Остаток Алматы: 22 шт,14 150 KZT,МП00-009865,DUFA,Германия,"0,9 л"
Краска в/э матовая Veloute база  светлая 5л,Остаток Алматы: 24 шт,154 310 KZT,AMVP5,Argile,Франция,5 л
"Краска Dulux Professional Diamond Max Protect мат BW 2,5л",Остаток Алматы: 18 шт,46 740 KZT,5834265,Dulux,Англия,"2,5 л"
Краска LAQUE MATE в/э мат. база средняя 10л,Остаток Алматы: 22 шт,285 000 KZT,ALMI10,Argile,Франция,10 л
"Краска Dulux Professional BINDO 40 полуглянцевая BW 4,5л",Остаток Алматы: 19 шт,57 790 KZT,5309533,Dulux,Англия,"4,5 л"
"Dufa HOME ВД краска Performance matt база1  0,9л",Остаток Алматы: 18 шт,12 150 KZT,МП00-009864,DUFA,Германия,"0,9 л"
"Краска Dulux Vinyl Extra Matt,BW 2,5л",Остаток Алматы: 20 шт,28 550 KZT,5686368,Dulux,Англия,"2,5 л"
"Краска Dulux Professional Vinyl Extra Matt глуб/мат BW 4,5л",Остаток Алматы: 19 шт,48 170 KZT,5685869,Dulux,Англия,"4,5 л"
"Dufa HOME ВД краска Ultra matt база1  0,9л",Остаток Алматы: 18 шт,17 920 KZT,МП00-009866,DUFA,Германия,"0,9 л"
"Краска антивандальная интерьерная KELLY-MOORE DuraPoxy (цвет- white base, eggshell), банка 3,78л",Остаток Алматы: 21 шт,81 000 KZT,1686-121-1G,KELLY-MOORE,Америка,"3,78 л"
"Краска Dulux Easy/Легко обновить обои мат BC 2,25л",Остаток Алматы: 18 шт,19 580 KZT,5733765,Dulux,Англия,"2,25 л"
Dufa HOME ВД краска Acrylic matt  база1  9л,Остаток Алматы: 18 шт,118 170 KZT,МП00-009628,DUFA,Германия,9 л
"DufaPremium ВД краска KeraLine  3  база3  2,5л",Остаток Алматы: 19 шт,13 430 KZT,МП00-006516,DUFA,Германия,"2,5 л"
"ProfiluxProfessional ВД краска INTERIOR МОЮЩАЯСЯ латексная для стен и потолков база 3  2,5кг",Остаток Алматы: 19 шт,7 330 KZT,Н0000005756,Profilux,Германия,"2,5 л"
"Dufa ВД краска SUPERWEISS RD4  0,9л",Остаток Алматы: 19 шт,4 400 KZT,МП00-009513,DUFA,Германия,"0,9 л"
"Краска Luxium Prof Diamond Ext Matt глуб/мт BC0,9л",Остаток Алматы: 14 шт,17 240 KZT,50034538,LUXIUM,Англия,"0,9 л"
Dulux Easy BW  мат 5,Остаток Алматы: 16 шт,36 190 KZT,5733762,Dulux,Англия,5 л
"DufaPremium ВД краска KeraLine  3  база3  0,9л",Остаток Алматы: 14 шт,5 620 KZT,МП00-006515,DUFA,Германия,"0,9 л"
Краска LAQUE MATE в/э мат. база средняя 5л,Остаток Алматы: 18 шт,170 930 KZT,ALMI5,Argile,Франция,5 л
"ProfiluxProfessional Эмаль Акриловая Универсальная (Матовая) база 3  0,9 кг",Остаток Алматы: 17 шт,5 750 KZT,МП00-000034,Profilux,Германия,"0,9 л"
"Dufa HOME ВД краска Acrylic matt  база1   2,5л",Остаток Алматы: 15 шт,36 830 KZT,МП00-009627,DUFA,Германия,"2,5 л"
"DufaPremium ВД краска KeraLine 20  база3  2,5л",Остаток Алматы: 17 шт,22 590 KZT,МП00-006528,DUFA,Германия,"2,5 л"
"Краска в/э матовая влагостойкая база темная 5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 17 шт,121 975 KZT,PLARD5,PPL(Paint&Paper Library),Англия,5 л
"Краска в/э матовая влагостойкая база средняя 2,5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 17 шт,69 050 KZT,PLARM25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска в/э база акриловая матовая база средняя 0.25л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 16 шт,11 020 KZT,PPLSPM,PPL(Paint&Paper Library),Англия,"0,25 л"
"Краска в/э матовая влагостойкая база белая 5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 16 шт,121 975 KZT,PLAR5,PPL(Paint&Paper Library),Англия,5 л
"Краска Dulux Professional Vinyl Extra Matt глуб/мат BC 4,5л",Остаток Алматы: 16 шт,48 170 KZT,5687033,Dulux,Англия,"4,5 л"
Краска Dulux TRADE Vinyl Matt матовая bs BW  1,Остаток Алматы: 7 шт,11 280 KZT,5183608,Dulux,Англия,1 л
Краска LAQUE MATE в/э мат. база светлая 5л,Остаток Алматы: 15 шт,170 930 KZT,ALMP5,Argile,Франция,5 л
"DufaPremium ВД краска KeraMatt  база1  2,5л",Остаток Алматы: 11 шт,29 740 KZT,МП00-008319,DUFA,Германия,"2,5 л"
"Краска в/э матовая влагостойкая база средняя 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 15 шт,37 110 KZT,PLARM075,PPL(Paint&Paper Library),Англия,"0,75 л"
Краска Dulux Professional BINDO 20 полуматовая BC 9л,Остаток Алматы: 5 шт,74 840 KZT,5309532,Dulux,Англия,9 л
"Краска Dulux Professional BINDO 3 глубокоматовая BC 4,5л",Остаток Алматы: 8 шт,24 620 KZT,5309380,Dulux,Англия,"4,5 л"
"Краска в/э матовая влагостойкая база средняя 5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 14 шт,121 975 KZT,PLARM5,PPL(Paint&Paper Library),Англия,5 л
"Краска LAQUE MATE в/э мат. база средняя 0,75л",Остаток Алматы: 14 шт,42 070 KZT,ALMI075,Argile,Франция,"0,75 л"
ProfiluxProfessional Эмаль Акриловая Универсальная (Матовая) база 1 10 кг,Остаток Алматы: 12 шт,44 020 KZT,МП00-005087,Profilux,Германия,10 л
"DufaPremium ВД краска KeraMatt  база3  2,5л",Остаток Алматы: 13 шт,29 740 KZT,МП00-008330,DUFA,Германия,"2,5 л"
"DufaPremium ВД краска KeraLine 20  база3  0,9л",Остаток Алматы: 13 шт,8 980 KZT,МП00-006527,DUFA,Германия,"0,9 л"
Краска Dulux Professional BINDO 20 полуматовая BW 1л,Остаток Алматы: 6 шт,10 280 KZT,5309511,Dulux,Англия,1 л
Dufa HOME ВД краска Ultra matt база1  9л,Остаток Алматы: 10 шт,156 920 KZT,МП00-009625,DUFA,Германия,9 л
"Dufa HOME ВД краска Ultra matt база1  2,5л",Остаток Алматы: 10 шт,47 980 KZT,МП00-009622,DUFA,Германия,"2,5 л"
Краска Dulux Professional Diamond Extra Matt глуб/мат BW 1л,Остаток Алматы: 8 шт,17 240 KZT,5717335,Dulux,Англия,1 л
Краска Сharmant Solid глубокоматовая моющаяся акрил-уретановая  база А 9 л,Остаток Алматы: 11 шт,213 900 KZT,00-00010115-90,Charmant,Россия,9 л
"Dufa ВД краска MATTLATEX RD100 база3    0,9л",Остаток Алматы: 10 шт,5 120 KZT,МП00-009512,DUFA,Германия,"0,9 л"
"Dufa HOME ВД краска Ultra matt база3  0,9л",Остаток Алматы: 10 шт,17 920 KZT,МП00-009871,DUFA,Германия,"0,9 л"
"Краска в/э акриловая матовая база средняя 5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 10 шт,112 545 KZT,PLPFM5,PPL(Paint&Paper Library),Англия,5 л
"Краска в/э матовая влагостойкая база экстра-темная 5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 10 шт,121 975 KZT,PLARE5,PPL(Paint&Paper Library),Англия,5 л
"Краска Luxium Prof Diamond Max Protect мт BС4,5л",Остаток Алматы: 10 шт,78 630 KZT,50035256,LUXIUM,Англия,"4,5 л"
"Краска Dulux Professional Diamond Extra Matt глуб/мат ВС 0,9л",Остаток Алматы: 8 шт,17 240 KZT,5717509,Dulux,Англия,"0,9 л"
"Краска Dulux Ultra Resist Для детской BC  2,25",Остаток Алматы: 9 шт,17 770 KZT,5239227,Dulux,Англия,"2,25 л"
Краска в/э матовая Veloute база средняя 0.75л,Остаток Алматы: 9 шт,36 750 KZT,AMVI075,Argile,Франция,"0,75 л"
Dufa HOME ВД краска Acrylic matt  база3  9л,Остаток Алматы: 9 шт,118 170 KZT,МП00-009870,DUFA,Германия,9 л
"Краска в/э матовая влагостойкая база темная 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 9 шт,37 110 KZT,PLARD075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска LAQUE MATE в/э мат. база светлая 2,5л",Остаток Алматы: 9 шт,96 450 KZT,ALMP25,Argile,Франция,"2,5 л"
"Краска в/э акриловая матовая база светлая 2,5л",Остаток Алматы: 9 шт,69 340 KZT,AMPP25,Argile,Франция,"2,5 л"
"Краска Dulux Professional Diamond Extra Matt глуб/мат BW4,5n",Остаток Алматы: 5 шт,72 340 KZT,5717202,Dulux,Англия,"4,5 л"
"Краска Dulux Professional BINDO 20 полуматовая BC 0,9л",Остаток Алматы: 3 шт,10 280 KZT,5309526,Dulux,Англия,"0,9 л"
"Dufa HOME ВД краска Acrylic matt  база3   0,9л",Остаток Алматы: 8 шт,14 150 KZT,МП00-009868,DUFA,Германия,"0,9 л"
"Краска LAQUE MATE в/э мат. база светлая 0,75л",Остаток Алматы: 8 шт,42 070 KZT,ALMP075,Argile,Франция,"0,75 л"
"ProfiluxProfessional Эмаль Акриловая Универсальная (Матовая) база 3  2,4 кг",Остаток Алматы: 8 шт,14 060 KZT,МП00-000035,Profilux,Германия,"2,4 л"
Dufa HOME ВД краска Ultra matt база3  9л,Остаток Алматы: 8 шт,156 920 KZT,МП00-009873,DUFA,Германия,9 л
"Краска антивандальная интерьерная KELLY-MOORE DuraPoxy (цвет- neutral base, matte), банка 3,78л",Остаток Алматы: 8 шт,68 350 KZT,1600-555-1G,KELLY-MOORE,Америка,"3,78 л"
"Dufa HOME ВД краска Ultra matt база3  2,5л",Остаток Алматы: 8 шт,47 980 KZT,МП00-009872,DUFA,Германия,"2,5 л"
"Dufa HOME ВД краска Acrylic matt  база3   2,5л",Остаток Алматы: 8 шт,36 830 KZT,МП00-009869,DUFA,Германия,"2,5 л"
"Краска LAQUE MATE в/э мат. база средняя 2,5л",Остаток Алматы: 8 шт,96 450 KZT,ALMI25,Argile,Франция,"2,5 л"
"Краска в/э акриловая матовая база темная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 8 шт,36 050 KZT,PLPFD075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э матовая влагостойкая база экстра-темная 2,5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 8 шт,69 050 KZT,PLARE25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска антивандальная интерьерная KELLY-MOORE DuraPoxy (цвет- deep base, eggshell), банка 3,78л",Остаток Алматы: 7 шт,76 400 KZT,1686-333-1G,KELLY-MOORE,Америка,"3,78 л"
"Краска в/э база акриловая матовая база темная 0.25л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 7 шт,11 020 KZT,PPLSPD,PPL(Paint&Paper Library),Англия,"0,25 л"
"Dufa HOME ВД краска Performance matt база1  2,5л",Остаток Алматы: 5 шт,31 830 KZT,МП00-009629,DUFA,Германия,"2,5 л"
"Краска в/э база акриловая матовая база э.-темная 0.25л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 7 шт,11 020 KZT,PPLSPE,PPL(Paint&Paper Library),Англия,"0,25 л"
"Краска антивандальная интерьерная KELLY-MOORE DuraPoxy (цвет- medium base, eggshell), банка 3,78л",Остаток Алматы: 7 шт,79 700 KZT,1686-222-1G,KELLY-MOORE,Америка,"3,78 л"
"Краска в/э матовая влагостойкая база экстра-темная 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 7 шт,37 110 KZT,PLARE075,PPL(Paint&Paper Library),Англия,"0,75 л"
Краска Dulux Ultra Resist Кухня и Ванная мат BW 1л,Остаток Алматы: 2 шт,14 650 KZT,5757360,Dulux,Англия,1 л
"Краска M ПОТОЛОК 2,5л",Остаток Астана: 6 шт,3 715 KZT,5261402,Marshall,Турция,"2,5 л"
"Краска Dulux Ultra Resist Кухня и Ванная мат BW 2,5л",Остаток Алматы: 5 шт,31 230 KZT,5757354,Dulux,Англия,"2,5 л"
Краска Dulux Professional BINDO 3 глубокоматовая BW 1л,Остаток Алматы: 5 шт,6 550 KZT,5309019,Dulux,Англия,1 л
"Краска Dulux Professional BINDO 20 полуматовая BW 2,5л",Остаток Алматы: 4 шт,23 680 KZT,5309518,Dulux,Англия,"2,5 л"
Краска в/э матовая Veloute база  светлая 10л,Остаток Алматы: 5 шт,253 400 KZT,AMVP10,Argile,Франция,10 л
Dufa HOME ВД краска Performance matt база1  9л,Остаток Алматы: 3 шт,103 100 KZT,МП00-009630,DUFA,Германия,9 л
"Краска Dulux Professional BINDO 20 полуматовая BC 2,25л",Остаток Астана: 5 шт,23 680 KZT,5309528,Dulux,Англия,"2,25 л"
Краска в/э акриловая матовая база светлая 5л,Остаток Алматы: 5 шт,128 030 KZT,AMPP5,Argile,Франция,5 л
"Краска в/э акриловая матовая база  экстра-темная 5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,112 545 KZT,PLPFE5,PPL(Paint&Paper Library),Англия,5 л
"Краска в/э акриловая матовая база  экстра-темная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,63 880 KZT,PLPFE25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска в/э акриловая матовая база средняя 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,63 880 KZT,PLPFM25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска в/э акриловая матовая база средняя 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,36 050 KZT,PLPFM075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э матовая Veloute база светлая 2,5л",Остаток Алматы: 5 шт,85 960 KZT,AMVP25,Argile,Франция,"2,5 л"
Краска в/э матовая Veloute база средняя 5л,Остаток Алматы: 5 шт,154 310 KZT,AMVI5,Argile,Франция,5 л
"Краска антивандальная интерьерная KELLY-MOORE DuraPoxy (цвет- medium base, matte), банка 0,946л",Остаток Алматы: 4 шт,31 300 KZT,1600-222-1Q,KELLY-MOORE,Америка,"0,946 л"
"Краска в/э матовая влагостойкая база темная 2.5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 4 шт,69 050 KZT,PLARD25,PPL(Paint&Paper Library),Англия,"2,5 л"
Краска в/э матовая Veloute база  светлая 0.75л,Остаток Алматы: 4 шт,36 750 KZT,AMVP075,Argile,Франция,"0,75 л"
"Краска в/э акриловая матовая база белая 5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,112 545 KZT,PLPF5,PPL(Paint&Paper Library),Англия,5 л
"Краска в/э акриловая матовая база белая 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,36 050 KZT,PLPF075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска Charmant Ultra ультраматовая акрил-уретановая, база А 2,7 л",Остаток Алматы: 1 шт,86 400 KZT,00-00012991-27,Charmant,Россия,"2,7 л"
"Краска в/э акриловая матовая база бесцветная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,63 880 KZT,PLPFT25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска Dulux Professional BINDO 7 матовая BW 2,5л",Остаток Алматы: 3 шт,18 290 KZT,5309396,Dulux,Англия,"2,5 л"
Краска Dulux Ultra Resist Для Детской мат BW 5л,Остаток Астана: 3 шт,56 490 KZT,5757447,Dulux,Англия,5 л
"Краска Dulux Vinyl Extra Matt., BW 1л",Остаток Алматы: 3 шт,11 120 KZT,5686372,Dulux,Англия,1 л
"Краска Charmant Ultra ультраматовая акрил-уретановая, база А 9 л",Остаток Алматы: 1 шт,261 400 KZT,00-00012991-90,Charmant,Россия,9 л
"Краска в/э матовая влагостойкая база белая 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 3 шт,37 110 KZT,PLAR075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э акриловая матовая база экстра-темная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 3 шт,36 050 KZT,PPLPFE075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э акриловая матовая база темная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 3 шт,63 880 KZT,PLPFD25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска Charmant Ultra ультраматовая акрил-уретановая, база С 2,7 л",Остаток Алматы: 3 шт,86 400 KZT,00-00012992-27,Charmant,Россия,"2,7 л"
Краска Dulux Professional BINDO 7 матовая BC 9л,Остаток Астана: 2 шт,56 250 KZT,5309495,Dulux,Англия,9 л
Dulux Easy BC   9,Остаток Алматы: 1 шт,33 280 KZT,5183567,Dulux,Англия,9 л
"Краска Dulux Ultra Resist Кухня и Ванная мат ВС 0,9л",Остаток Алматы: 2 шт,14 650 KZT,5757410,Dulux,Англия,"0,9 л"
"Краска Dulux Ultra Resist Кухня и Ванная мат ВС 2,25л",Остаток Астана: 2 шт,31 230 KZT,5757408,Dulux,Англия,"2,25 л"
Swiss Lake Intense Resistance Plus база А 9 л,Остаток Астана: 2 шт,167 300 KZT,СН000022774-90,Swiss Lake,Россия,9 л
